class,itstate,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
0,0,closed,705.0,705.0,0.365509033203125,0.3743133544921875,0.523170470023182,2
0,0,closed,706.0,706.0,0.36480712890625,0.378570556640625,0.5257374893005196,2
0,0,closed,707.0,707.0,0.37652587890625,0.356689453125,0.5186512348936765,1
0,0,closed,708.0,708.0,0.369232177734375,0.35882568359375,0.5148672375292402,3
0,0,closed,709.0,709.0,0.367767333984375,0.364898681640625,0.5180770790230359,3
0,0,closed,710.0,710.0,0.36688232421875,0.36749267578125,0.5192817217821314,3
0,0,closed,711.0,711.0,0.364349365234375,0.371551513671875,0.5203854218351562,3
0,0,closed,712.0,712.0,0.36517333984375,0.37774658203125,0.5253989421086902,3
0,0,closed,713.0,713.0,0.364593505859375,0.3818359375,0.5279461219493273,3
0,0,closed,714.0,714.0,0.3625335693359375,0.3854827880859375,0.5291763116447701,4
0,0,closed,715.0,715.0,0.363067626953125,0.389251708984375,0.5322922079916539,3
0,0,closed,716.0,716.0,0.3626708984375,0.3941192626953125,0.5355932914077249,4
0,0,closed,717.0,717.0,0.3631134033203125,0.3988800048828125,0.5394039321011411,4
0,0,closed,718.0,718.0,0.3623046875,0.402801513671875,0.5417690891891364,3
0,0,closed,719.0,719.0,0.362335205078125,0.406768798828125,0.5447454970342412,3
0,0,closed,720.0,720.0,0.365447998046875,0.412017822265625,0.5507367112704372,2
0,0,closed,721.0,721.0,0.3692626953125,0.41705322265625,0.5570353029004678,3
0,0,closed,722.0,722.0,0.365814208984375,0.4209747314453125,0.5577093866973345,4
0,0,closed,723.0,723.0,0.3661651611328125,0.425262451171875,0.5611818578715192,4
0,0,closed,724.0,724.0,0.3702392578125,0.429443359375,0.5670085598444139,5
0,0,closed,725.0,725.0,0.375701904296875,0.434722900390625,0.5745745565340807,3
0,0,closed,726.0,726.0,0.37164306640625,0.438507080078125,0.5748104279555856,5
0,0,closed,727.0,727.0,0.37408447265625,0.4429779052734375,0.57980049779467,4
0,0,closed,728.0,728.0,0.37371826171875,0.428314208984375,0.5684350453305944,3
0,0,closed,729.0,729.0,0.3707275390625,0.4510498046875,0.5838534358278363,4
0,0,closed,730.0,730.0,0.3700103759765625,0.4466552734375,0.5800074237627006,6
0,0,closed,731.0,731.0,0.370452880859375,0.459808349609375,0.5904735856137068,5
0,0,closed,732.0,732.0,0.36993408203125,0.361907958984375,0.5175215897182838,5
0,0,closed,733.0,733.0,0.375396728515625,0.459808349609375,0.5935877543807074,6
0,0,closed,734.0,734.0,0.376983642578125,0.4636077880859375,0.5975356457529601,6
0,0,closed,735.0,735.0,0.37408447265625,0.37652587890625,0.5307644771163842,7
0,0,closed,736.0,736.0,0.38299560546875,0.381561279296875,0.5406243091713896,7
0,0,closed,737.0,737.0,0.377685546875,0.46905517578125,0.6022118649158676,7
0,0,closed,738.0,738.0,0.3856048583984375,0.4237518310546875,0.5729369259723791,6
0,0,closed,739.0,739.0,0.381439208984375,0.395721435546875,0.5496283514356817,7
0,0,closed,740.0,740.0,0.372314453125,0.481719970703125,0.608828532659227,5
0,0,closed,741.0,741.0,0.390869140625,0.48602294921875,0.6236962339634717,7
0,0,closed,742.0,742.0,0.3891448974609375,0.44970703125,0.5947017447221523,8
0,0,closed,743.0,743.0,0.391357421875,0.49365234375,0.6299629101356007,7
0,0,closed,744.0,744.0,0.392730712890625,0.419158935546875,0.5743967497265003,7
0,0,closed,745.0,745.0,0.39483642578125,0.512054443359375,0.646603090069783,5
0,0,closed,746.0,746.0,0.371917724609375,0.392852783203125,0.5409769894820449,5
0,0,closed,747.0,747.0,0.39093017578125,0.411651611328125,0.5677001421925141,7
0,0,closed,748.0,748.0,0.391571044921875,0.51141357421875,0.6441053695758218,7
0,0,closed,824.0,824.0,0.5541839599609375,0.567840576171875,0.7934499237035649,14
0,0,closed,825.0,825.0,0.5296173095703125,0.546417236328125,0.7609640535222162,16
0,0,closed,826.0,826.0,0.53814697265625,0.579315185546875,0.7907011119154297,15
0,0,closed,827.0,827.0,0.548583984375,0.5688323974609375,0.7902624148432648,16
0,0,closed,828.0,828.0,0.543487548828125,0.543304443359375,0.7684779983221666,15
0,0,closed,829.0,829.0,0.5535430908203125,0.570770263671875,0.7951029161605222,16
0,0,closed,830.0,830.0,0.491729736328125,0.5467529296875,0.7353481486419828,11
0,0,closed,831.0,831.0,0.53955078125,0.563201904296875,0.7799432226457973,13
0,0,closed,832.0,832.0,0.561492919921875,0.5569610595703125,0.7908728854879767,16
0,0,closed,833.0,833.0,0.54473876953125,0.55059814453125,0.7745312413270853,15
0,0,closed,834.0,834.0,0.5609588623046875,0.559600830078125,0.7923559390970045,16
0,0,closed,835.0,835.0,0.528961181640625,0.514312744140625,0.7377787815247239,14
0,0,closed,836.0,836.0,0.5308685302734375,0.5625457763671875,0.773485065753206,16
0,0,closed,837.0,837.0,0.5103607177734375,0.51531982421875,0.7252741436719371,16
0,0,closed,838.0,838.0,0.511749267578125,0.5086669921875,0.7215465486077981,21
0,0,closed,839.0,839.0,0.5659332275390625,0.57147216796875,0.8042766046551917,16
0,0,closed,840.0,840.0,0.51690673828125,0.51580810546875,0.7302400822659777,22
0,0,closed,841.0,841.0,0.57122802734375,0.568878173828125,0.8061785384646842,16
0,0,closed,842.0,842.0,0.433258056640625,0.471343994140625,0.6402169198454916,17
