class,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
0,closed,703.0,703.0,0.3650970458984375,0.6588287353515625,0.7532271605888259,12
0,closed,704.0,704.0,0.36138916015625,0.650726318359375,0.744343245071779,11
0,closed,705.0,705.0,0.3466796875,0.639434814453125,0.7273676427088299,31
0,closed,706.0,706.0,0.3498992919921875,0.6441192626953125,0.7330205584509804,42
0,closed,707.0,707.0,0.353118896484375,0.64886474609375,0.7387275639758201,37
0,closed,708.0,708.0,0.34710693359375,0.61383056640625,0.7051745795216059,46
0,closed,709.0,709.0,0.353790283203125,0.64385986328125,0.73465848394577,45
0,closed,710.0,710.0,0.3547515869140625,0.630462646484375,0.7234167796160991,50
0,closed,711.0,711.0,0.3596343994140625,0.633880615234375,0.7287945771009985,48
0,closed,712.0,712.0,0.361175537109375,0.611175537109375,0.7099178162063399,46
0,closed,713.0,713.0,0.369232177734375,0.65924072265625,0.7555995840938531,51
0,closed,714.0,714.0,0.3604583740234375,0.6038970947265625,0.7032936374110057,50
0,closed,715.0,715.0,0.371337890625,0.628387451171875,0.7299058965401705,59
0,closed,716.0,716.0,0.3763427734375,0.65570068359375,0.756027294205666,53
0,closed,717.0,717.0,0.372833251953125,0.624359130859375,0.7272062692588785,52
0,closed,718.0,718.0,0.3846435546875,0.658477783203125,0.7625900964048363,49
0,closed,719.0,719.0,0.3896942138671875,0.6578826904296875,0.7646379631489463,50
0,closed,720.0,720.0,0.38385009765625,0.6328125,0.7401300950690781,43
0,closed,721.0,721.0,0.3953399658203125,0.6609344482421875,0.770148059432737,54
0,closed,722.0,722.0,0.401641845703125,0.662811279296875,0.7750064284784823,47
0,closed,723.0,723.0,0.3979339599609375,0.643524169921875,0.7566206405880237,54
0,closed,724.0,724.0,0.38043212890625,0.63812255859375,0.7429192449320287,61
0,closed,725.0,725.0,0.3910675048828125,0.6411285400390625,0.7509857510152163,66
0,closed,726.0,726.0,0.380706787109375,0.630401611328125,0.7364399835127363,60
0,closed,727.0,727.0,0.4049072265625,0.655242919921875,0.7702552474539076,65
0,closed,728.0,728.0,0.41546630859375,0.6689910888671875,0.7875032257459155,64
0,closed,729.0,729.0,0.3977813720703125,0.6365203857421875,0.7505919140461903,68
0,closed,730.0,730.0,0.39959716796875,0.6588134765625,0.7705278019312561,79
0,closed,731.0,731.0,0.39642333984375,0.64239501953125,0.7548660977229196,76
0,closed,732.0,732.0,0.396087646484375,0.6475982666015625,0.759123796625346,90
0,closed,733.0,733.0,0.407501220703125,0.662567138671875,0.7778511799324936,87
0,closed,734.0,734.0,0.406585693359375,0.658447265625,0.7738635071209671,101
0,closed,735.0,735.0,0.4058990478515625,0.6516571044921875,0.7677310850043437,104
0,closed,736.0,736.0,0.4095001220703125,0.6569366455078125,0.7741163389224246,100
0,closed,737.0,737.0,0.4122772216796875,0.6467132568359375,0.7669488536292804,102
